From Marked List: 
Timespan=2005-2019. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Forward flux sampling for rare event simulations","Allen, Rosalind J.; Valeriani, Chantal; ten Wolde, Pieter Rein","","","","JOURNAL OF PHYSICS-CONDENSED MATTER","NOV 18 2009","2009","21","46","","","","","","463102","10.1088/0953-8984/21/46/463102","","","194","17.64","0","0","0","0","1","6","12","17","24","19","28","33","25","29","0"
"Homogeneous ice nucleation from supercooled water","Li, Tianshu; Donadio, Davide; Russo, Giovanna; Galli, Giulia","","","","PHYSICAL CHEMISTRY CHEMICAL PHYSICS","2011","2011","13","44","","","","19807","19813","","10.1039/c1cp22167a","","","126","14.00","0","0","0","0","0","0","0","4","16","20","18","27","18","23","0"
"Rate of homogeneous crystal nucleation in molten NaCl","Valeriani, C; Sanz, E; Frenkel, D","","","","JOURNAL OF CHEMICAL PHYSICS","MAY 15 2005","2005","122","19","","","","","","194501","10.1063/1.1896348","","","113","7.53","0","6","12","10","10","8","10","6","2","12","12","12","7","6","0"
"Forward flux sampling-type schemes for simulating rare events: Efficiency analysis","Allen, Rosalind J.; Frenkel, Daan; ten Wolde, Pieter Rein","","","","JOURNAL OF CHEMICAL PHYSICS","MAY 21 2006","2006","124","19","","","","","","194111","10.1063/1.2198827","","","112","8.00","0","2","6","10","9","11","11","8","8","9","11","9","9","9","0"
"Rate Constant and Reaction Coordinate of Trp-Cage Folding in Explicit Water","Juraszek, Jarek; Bolhuis, Peter G.","","","","BIOPHYSICAL JOURNAL","NOV 1 2008","2008","95","9","","","","4246","4257","","10.1529/biophysj.108.136267","","","100","8.33","0","0","0","0","11","16","15","9","8","9","13","9","9","1","0"
"Crystal nucleation of hard spheres using molecular dynamics, umbrella sampling, and forward flux sampling: A comparison of simulation techniques","Filion, L.; Hermes, M.; Ni, R.; Dijkstra, M.","","","","JOURNAL OF CHEMICAL PHYSICS","DEC 28 2010","2010","133","24","","","","","","244115","10.1063/1.3506838","","","97","9.70","0","0","0","0","0","0","10","10","10","15","10","15","8","18","1"
"Evaporation rate of water in hydrophobic confinement","Sharma, Sumit; Debenedetti, Pablo G.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","MAR 20 2012","2012","109","12","","","","4365","4370","","10.1073/pnas.1116167109","","","82","10.25","0","0","0","0","0","0","0","8","13","9","16","10","9","17","0"
"Computing stationary distributions in equilibrium and nonequilibrium systems with forward flux sampling","Valeriani, Chantal; Allen, Rosalind J.; Morelli, Marco J.; Frenkel, Daan; ten Wolde, Pieter Rein","","","","JOURNAL OF CHEMICAL PHYSICS","SEP 21 2007","2007","127","11","","","","","","114109","10.1063/1.2767625","","","81","6.23","0","0","1","8","9","8","10","9","5","4","6","7","5","9","0"
"An experimentally-informed coarse-grained 3-site-per-nucleotide model of DNA: Structure, thermodynamics, and dynamics of hybridization","Hinckley, Daniel M.; Freeman, Gordon S.; Whitmer, Jonathan K.; de Pablo, Juan J.","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 14 2013","2013","139","14","","","","","","144903","10.1063/1.4822042","","","71","10.14","0","0","0","0","0","0","0","0","0","12","13","21","12","13","0"
"Homogeneous Bubble Nucleation Driven by Local Hot Spots: A Molecular Dynamics Study","Wang, Zun-Jing; Valeriani, Chantal; Frenkel, Daan","","","","JOURNAL OF PHYSICAL CHEMISTRY B","MAR 26 2009","2009","113","12","","","","3776","3784","","10.1021/jp807727p","","","61","5.55","0","0","0","0","4","7","5","4","9","8","6","11","3","4","0"
"Reaction coordinates and transition pathways of rare events via forward flux sampling","Borrero, Ernesto E.; Escobedo, Fernando A.","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 28 2007","2007","127","16","","","","","","164101","10.1063/1.2776270","","","55","4.23","0","0","0","2","8","11","2","6","5","3","7","4","2","5","0"
"Two-step vapor-crystal nucleation close below triple point","van Meel, J. A.; Page, A. J.; Sear, R. P.; Frenkel, D.","","","","JOURNAL OF CHEMICAL PHYSICS","NOV 28 2008","2008","129","20","","","","","","204505","10.1063/1.3026364","","","53","4.42","0","0","0","0","9","8","3","9","5","4","2","5","5","3","0"
"Transition path sampling and forward flux sampling. Applications to biological systems","Escobedo, Fernando A.; Borrero, Ernesto E.; Araque, Juan C.","","","","JOURNAL OF PHYSICS-CONDENSED MATTER","AUG 19 2009","2009","21","33","","","","","","333101","10.1088/0953-8984/21/33/333101","","","49","4.45","0","0","0","0","2","7","7","9","3","5","5","5","3","3","0"
"Molecular Simulations of Wetting of a Rough Surface by an Oily Fluid: Effect of Topology, Chemistry, and Droplet Size on Wetting Transition Rates","Savoy, Elizabeth S.; Escobedo, Fernando A.","","","","LANGMUIR","FEB 21 2012","2012","28","7","","","","3412","3419","","10.1021/la203921h","","","47","5.88","0","0","0","0","0","0","0","6","5","9","4","8","8","7","0"
"Homogeneous nucleation under shear in a two-dimensional Ising model: Cluster growth, coalescence, and breakup","Allen, Rosalind J.; Valeriani, Chantal; Tanase-Nicola, Sorin; ten Wolde, Pieter Rein; Frenkel, Daan","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 7 2008","2008","129","13","","","","","","134704","10.1063/1.2981052","","","46","3.83","0","0","0","2","6","10","4","4","4","1","7","5","2","1","0"
"Simulation of nucleation in almost hard-sphere colloids: The discrepancy between experiment and simulation persists","Filion, L.; Ni, R.; Frenkel, D.; Dijkstra, M.","","","","JOURNAL OF CHEMICAL PHYSICS","APR 7 2011","2011","134","13","","","","","","134901","10.1063/1.3572059","","","45","5.00","0","0","0","0","0","0","1","4","5","6","7","10","3","9","0"
"Rare events via multiple reaction channels sampled by path replica exchange","Bolhuis, Peter G.","","","","JOURNAL OF CHEMICAL PHYSICS","SEP 21 2008","2008","129","11","","","","","","114108","10.1063/1.2976011","","","45","3.75","0","0","0","1","6","6","3","4","1","4","5","7","7","1","0"
"Enhanced Sampling of Nonequilibrium Steady States","Dickson, Alex; Dinner, Aaron R.","","","Leone, SR; Cremer, PS; Groves, JT; Johnson, MA; Richmond, G","ANNUAL REVIEW OF PHYSICAL CHEMISTRY, VOL 61","2010","2010","61","","","","","441","459","","10.1146/annurev.physchem.012809.103433","","","44","4.40","0","0","0","0","0","2","4","6","8","8","5","4","4","3","0"
"Simulation Study of Free-Energy Barriers in the Wetting Transition of an Oily Fluid on a Rough Surface with Reentrant Geometry","Savoy, Elizabeth S.; Escobedo, Fernando A.","","","","LANGMUIR","NOV 20 2012","2012","28","46","","","","16080","16090","","10.1021/la303407r","","","40","5.00","0","0","0","0","0","0","0","0","3","7","10","12","4","4","0"
"Separating forward and backward pathways in nonequilibrium umbrella sampling","Dickson, Alex; Warmflash, Aryeh; Dinner, Aaron R.","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 21 2009","2009","131","15","","","","","","154104","10.1063/1.3244561","","","38","3.45","0","0","0","0","1","1","3","5","5","5","5","3","4","6","0"
"DNA looping provides stability and robustness to the bacteriophage lambda switch","Morelli, Marco J.; ten Wolde, Pieter Rein; Allen, Rosalind J.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","MAY 19 2009","2009","106","20","","","","8101","8106","","10.1073/pnas.0810399106","","","38","3.45","0","0","0","0","4","4","6","5","3","5","2","3","2","3","1"
"Optimizing the sampling and staging for simulations of rare events via forward flux sampling schemes","Borrero, Ernesto E.; Escobedo, Fernando A.","","","","JOURNAL OF CHEMICAL PHYSICS","JUL 14 2008","2008","129","2","","","","","","024115","10.1063/1.2953325","","","37","3.08","0","0","0","0","5","10","6","2","3","2","3","4","1","1","0"
"Thermodynamics and kinetics of bubble nucleation: Simulation methodology","Meadley, Stacey L.; Escobedo, Fernando A.","","","","JOURNAL OF CHEMICAL PHYSICS","AUG 21 2012","2012","137","7","","","","","","074109","10.1063/1.4745082","","","35","4.38","0","0","0","0","0","0","0","1","5","6","5","7","4","7","0"
"Molecular simulations of droplet coalescence in oil/water/surfactant systems","Rekvig, Live; Frenkel, Daan","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 7 2007","2007","127","13","","","","","","134701","10.1063/1.2780865","","","33","2.54","0","0","0","1","7","4","3","3","1","3","3","2","3","3","0"
"Probing Methane Hydrate Nucleation through the Forward Flux Sampling Method","Bi, Yuanfei; Li, Tianshu","","","","JOURNAL OF PHYSICAL CHEMISTRY B","NOV 27 2014","2014","118","47","","","SI","13324","13332","","10.1021/jp503000u","","","32","5.33","0","0","0","0","0","0","0","0","0","1","6","8","5","12","0"
"Ice nucleation on carbon surface supports the classical theory for heterogeneous nucleation","Cabriolu, Raffaela; Li, Tianshu","","","","PHYSICAL REVIEW E","MAY 13 2015","2015","91","5","","","","","","052402","10.1103/PhysRevE.91.052402","","","31","6.20","0","0","0","0","0","0","0","0","0","0","3","9","8","11","0"
"Suppression of sub-surface freezing in free-standing thin films of a coarse-grained model of water","Haji-Akbari, Amir; DeFever, Ryan S.; Sarupria, Sapna; Debenedetti, Pablo G.","","","","PHYSICAL CHEMISTRY CHEMICAL PHYSICS","2014","2014","16","47","","","","25916","25927","","10.1039/c4cp03948c","","","31","5.17","0","0","0","0","0","0","0","0","0","0","6","13","7","5","0"
"Free Energy Barriers to Evaporation of Water in Hydrophobic Confinement","Sharma, Sumit; Debenedetti, Pablo G.","","","","JOURNAL OF PHYSICAL CHEMISTRY B","NOV 8 2012","2012","116","44","","","","13282","13289","","10.1021/jp308362h","","","31","3.88","0","0","0","0","0","0","0","0","3","5","5","7","5","6","0"
"Reaction coordinates for the flipping of genetic switches","Morelli, Marco J.; Tanase-Nicola, Sorin; Allen, Rosalind J.; ten Wolde, Pieter Rein","","","","BIOPHYSICAL JOURNAL","MAY 1 2008","2008","94","9","","","","3413","3423","","10.1529/biophysj.107.116699","","","30","2.50","0","0","0","4","8","3","0","3","0","3","3","3","1","1","1"
"The rate constant of polymer reversal inside a pore","Huang, Lei; Makarov, Dmitrii E.","","","","JOURNAL OF CHEMICAL PHYSICS","MAR 21 2008","2008","128","11","","","","","","114903","10.1063/1.2890006","","","30","2.50","0","0","0","2","6","5","5","3","4","3","0","1","0","1","0"
"Coarse-grained modeling of DNA oligomer hybridization: Length, sequence, and salt effects","Hinckley, Daniel M.; Lequieu, Joshua P.; de Pablo, Juan J.","","","","JOURNAL OF CHEMICAL PHYSICS","JUL 21 2014","2014","141","3","","","","","","035102","10.1063/1.4886336","","","27","4.50","0","0","0","0","0","0","0","0","0","1","10","8","4","4","0"
"Kinetics and reaction coordinate for the isomerization of alanine dipeptide by a forward flux sampling protocol","Velez-Vega, Camilo; Borrero, Ernesto E.; Escobedob, Fernando A.","","","","JOURNAL OF CHEMICAL PHYSICS","JUN 14 2009","2009","130","22","","","","","","225101","10.1063/1.3147465","","","24","2.18","0","0","0","0","2","3","7","5","0","4","3","0","0","0","0"
"Steady-State Metabolite Concentrations Reflect a Balance between Maximizing Enzyme Efficiency and Minimizing Total Metabolite Load","Tepper, Naama; Noor, Elad; Amador-Noguez, Daniel; Haraldsdottir, Hulda S.; Milo, Ron; Rabinowitz, Josh; Liebermeister, Wolfram; Shlomi, Tomer","","","","PLOS ONE","SEP 26 2013","2013","8","9","","","","","","e75370","10.1371/journal.pone.0075370","","","23","3.29","0","0","0","0","0","0","0","0","0","0","11","5","4","3","0"
"Localized Orientational Order Chaperones the Nucleation of Rotator Phases in Hard Polyhedral Particles","Thapar, Vikram; Escobedo, Fernando A.","","","","PHYSICAL REVIEW LETTERS","JAN 28 2014","2014","112","4","","","","","","048301","10.1103/PhysRevLett.112.048301","","","22","3.67","0","0","0","0","0","0","0","0","0","4","3","8","2","5","0"
"Nucleation of tetrahedral solids: A molecular dynamics study of supercooled liquid silicon","Li, Tianshu; Donadio, Davide; Galli, Giulia","","","","JOURNAL OF CHEMICAL PHYSICS","DEC 14 2009","2009","131","22","","","","","","224519","10.1063/1.3268346","","","22","2.00","0","0","0","0","0","1","3","2","2","1","2","6","3","2","0"
"Non-stationary forward flux sampling","Becker, Nils B.; Allen, Rosalind J.; ten Wolde, Pieter Rein","","","","JOURNAL OF CHEMICAL PHYSICS","MAY 7 2012","2012","136","17","","","","","","174118","10.1063/1.4704810","","","20","2.50","0","0","0","0","0","0","0","2","6","6","0","2","1","3","0"
"Kinetics and mechanism of the unfolding native-to-loop transition of Trp-cage in explicit solvent via optimized forward flux sampling simulations","Velez-Vega, Camilo; Borrero, Ernesto E.; Escobedo, Fernando A.","","","","JOURNAL OF CHEMICAL PHYSICS","SEP 14 2010","2010","133","10","","","","","","105103","10.1063/1.3474803","","","20","2.00","0","0","0","0","0","0","4","4","2","3","4","1","2","0","0"
"Nudged-elastic band used to find reaction coordinates based on the free energy","Bohner, Matthias U.; Zeman, Johannes; Smiatek, Jens; Arnold, Axel; Kaestner, Johannes","","","","JOURNAL OF CHEMICAL PHYSICS","FEB 21 2014","2014","140","7","","","","","","074109","10.1063/1.4865220","","","17","2.83","0","0","0","0","0","0","0","0","0","0","2","4","5","5","1"
"Computational investigation of surface freezing in a molecular model of water","Haji-Akbari, Amir; Debenedetti, Pablo G.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","MAR 28 2017","2017","114","13","","","","3316","3321","","10.1073/pnas.1620999114","","","16","5.33","0","0","0","0","0","0","0","0","0","0","0","0","5","11","0"
"Free energy landscape and molecular pathways of gas hydrate nucleation","Bi, Yuanfei; Porras, Anna; Li, Tianshu","","","","JOURNAL OF CHEMICAL PHYSICS","DEC 21 2016","2016","145","21","","","","","","211909","10.1063/1.4961241","","","16","4.00","0","0","0","0","0","0","0","0","0","0","0","0","5","11","0"
"Effects of Roaming Trajectories on the Transition State Theory Rates of a Reduced-Dimensional Model of Ketene Isomerization","Ulusoy, Inga S.; Stanton, John F.; Hernandez, Rigoberto","","","","JOURNAL OF PHYSICAL CHEMISTRY A","AUG 15 2013","2013","117","32","","","","7553","7560","","10.1021/jp402322h","","","16","2.29","0","0","0","0","0","0","0","0","1","6","2","4","3","0","0"
"Folding kinetics of a lattice protein via a forward flux sampling approach","Borrero, Ernesto E.; Escobedo, Fernando A.","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 28 2006","2006","125","16","","","","","","164904","10.1063/1.2357944","","","16","1.14","0","0","0","4","4","1","0","1","1","1","0","1","2","1","0"
"Computational investigation of structure, dynamics and nucleation kinetics of a family of modified Stillinger-Weber model fluids in bulk and free-standing thin films","Gianetti, Melisa M.; Haji-Akbari, Amir; Longinotti, M. Paula; Debenedetti, Pablo G.","","","","PHYSICAL CHEMISTRY CHEMICAL PHYSICS","FEB 7 2016","2016","18","5","","","","4102","4111","","10.1039/c5cp06535f","","","15","3.75","0","0","0","0","0","0","0","0","0","0","0","4","3","8","0"
"Role of helicity for large- and small-scale turbulent fluctuations","Sahoo, Ganapati; Bonaccorso, Fabio; Biferale, Luca","","","","PHYSICAL REVIEW E","NOV 24 2015","2015","92","5","","","","","","051002","10.1103/PhysRevE.92.051002","","","15","3.00","0","0","0","0","0","0","0","0","0","0","0","2","10","3","0"
